ID,USER_ID,ORDER_DATE,STATUS,_ETL_LOADED_AT
75,69,2018-03-18,completed,2024-06-14T01:49:55.780Z
76,25,2018-03-20,completed,2024-06-14T01:49:55.780Z
77,35,2018-03-21,shipped,2024-06-14T01:49:55.780Z
78,90,2018-03-23,shipped,2024-06-14T01:49:55.780Z
79,52,2018-03-23,shipped,2024-06-14T01:49:55.780Z
80,11,2018-03-23,shipped,2024-06-14T01:49:55.780Z
81,76,2018-03-23,shipped,2024-06-14T01:49:55.780Z
82,46,2018-03-24,shipped,2024-06-14T01:49:55.780Z
83,54,2018-03-24,shipped,2024-06-14T01:49:55.780Z
84,70,2018-03-26,placed,2024-06-14T01:49:55.780Z
85,47,2018-03-26,shipped,2024-06-14T01:49:55.780Z
86,68,2018-03-26,placed,2024-06-14T01:49:55.780Z
87,46,2018-03-27,placed,2024-06-14T01:49:55.780Z
88,91,2018-03-27,shipped,2024-06-14T01:49:55.780Z
89,21,2018-03-28,placed,2024-06-14T01:49:55.780Z
90,66,2018-03-30,shipped,2024-06-14T01:49:55.780Z
91,47,2018-03-31,placed,2024-06-14T01:49:55.780Z
92,84,2018-04-02,placed,2024-06-14T01:49:55.780Z
93,66,2018-04-03,placed,2024-06-14T01:49:55.780Z
94,63,2018-04-03,placed,2024-06-14T01:49:55.780Z
95,27,2018-04-04,placed,2024-06-14T01:49:55.780Z
96,90,2018-04-06,placed,2024-06-14T01:49:55.780Z
97,89,2018-04-07,placed,2024-06-14T01:49:55.780Z
98,41,2018-04-07,placed,2024-06-14T01:49:55.780Z
99,85,2018-04-09,placed,2024-06-14T01:49:55.780Z
